City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Castle Rock,0,0,0,993,56.6,17.5,0.209,0.012,0.006,0.015,0.131,0.001,0.039,0.796,57.88688
Golden,0,1,0,377,16.4,22.9,0.21,0.011,0.003,0.008,0.106,0,0.045,0.828,57.76367
Thornton,0,0,0,1053,52.2,20.1,0.327,0.024,0.009,0.051,0.243,0.001,0.015,0.657,57.70836
Grand Junction,0,0,0,475,28.6,16.5,0.451,0.006,0.006,0.006,0.204,0,0.053,0.724,57.66391
Evans,0,0,1,711,40,17.7,0.63,0.003,0.001,0.006,0.518,0,0.024,0.449,57.60655
Aurora,0,0,0,688,33.4,20.5,0.365,0.174,0.001,0.041,0.321,0.006,0.078,0.378,57.59555
Aurora,0,0,0,675,30.7,21.9,0.305,0.16,0.003,0.126,0.227,0,0.081,0.403,57.45664
Littleton,0,1,0,388,26.8,14.4,0.235,0.021,0.003,0.023,0.134,0.008,0.08,0.732,57.40864
Woodland Park,0,0,0,563,32.6,17.2,0.378,0.005,0.004,0.011,0.075,0.005,0.03,0.87,56.88936
Colorado Springs,0,1,0,190,7.4,25.3,0.274,0.016,0.005,0.021,0.095,0,0.005,0.858,56.87357
Grand Junction,0,1,0,327,19.5,16.7,0.171,0,0.009,0.009,0.15,0,0.034,0.798,56.726
Gypsum,0,0,0,366,22.4,16.3,0.478,0,0.011,0.008,0.637,0,0.008,0.336,56.67909
Manitou Springs,0,0,0,380,24.2,15.6,0.284,0.016,0.003,0.008,0.089,0.003,0.037,0.845,56.60882
Pueblo,0,0,0,363,23.4,15.4,0.57,0,0.008,0,0.482,0,0.019,0.49,56.45718
Branson,0,0,0,439,23.3,18.8,0.125,0.055,0.014,0.007,0.276,0.002,0.059,0.588,56.39809
Fort Collins,0,0,0,614,39.8,15.4,0.388,0.026,0.016,0.02,0.208,0,0.037,0.692,56.37973
Westminster,0,1,0,463,26,17.7,0.464,0.006,0.002,0.043,0.51,0.004,0.026,0.408,56.10109
Peyton,0,0,0,902,47.2,19,0.184,0.039,0.003,0.019,0.164,0.002,0.057,0.716,56.01118
Fruita,0,0,0,681,41,16.5,0.253,0.003,0,0.001,0.132,0.001,0.037,0.825,55.676
Fountain,0,0,0,918,56.9,16.1,0.477,0.09,0.008,0.008,0.275,0.013,0.109,0.498,55.66918
Cedaredge,0,0,0,210,13.3,15.6,0.476,0,0.01,0.005,0.095,0,0.029,0.862,55.29745
Durango,0,0,0,499,30.4,16.3,0.363,0.012,0.082,0.016,0.18,0,0.024,0.685,54.46473
Denver,0,0,0,811,42.7,18.9,0.597,0.014,0.005,0.076,0.491,0.002,0.032,0.38,54.45036
Denver,0,1,0,201,16.7,12,0.512,0.104,0,0.025,0.388,0,0.07,0.413,54.11318
Colorado Springs,1,0,1,726,37.8,19.1,0.675,0.096,0.011,0.021,0.482,0.007,0.033,0.35,53.67418
Loveland,0,0,0,888,48.9,18.1,0.327,0.01,0.007,0.014,0.177,0,0.019,0.774,53.62127
Buena Vista,0,0,0,202,17.5,11.5,0.381,0.01,0.005,0.015,0.114,0,0.015,0.842,53.61282
Commerce City,0,1,0,757,31.2,24.2,0.125,0.025,0.003,0.008,0.21,0,0.049,0.705,53.58873
Westcliffe,0,0,0,102,7.8,12.9,0.539,0.01,0,0.01,0.02,0,0.02,0.941,53.443
Colorado Springs,0,0,0,1022,56.5,18,0.309,0.103,0.008,0.053,0.214,0.001,0.053,0.568,52.944
Denver,1,1,0,415,33.8,12.2,0.764,0.241,0.007,0.012,0.576,0,0.024,0.14,52.90336
Avon,1,0,0,552,39,14.1,0.46,0.018,0.009,0.024,0.476,0.002,0.011,0.46,52.72409
Weston,0,0,0,104,12.4,8.3,0.394,0,0.01,0,0,0,0,0.99,52.71363
Lakewood,0,0,0,685,42.2,16.2,0.555,0.022,0.012,0.032,0.397,0.003,0.035,0.499,52.61263
