District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
Bayfield School District No. 10jt-R,Bayfield,0,0,0,306,19.5,15.6,0.324,0,0.02,0,0.141,0.003,0.013,0.824,60.24418,60.5674
Wiley School District No. Re-13 Jt,Wiley,0,0,0,117,10.6,11,0.41,0.009,0,0,0.188,0,0.051,0.752,60.148,46.564
Jefferson County School District No. R-1,Wheat Ridge,0,1,0,498,21.6,23,0.155,0.008,0.004,0.016,0.122,0,0.036,0.813,59.89691,65.4055
Weld County Reorganized School District No. Re-3,Keenesburg,0,1,0,162,11.9,13.5,0.093,0,0.006,0.012,0.062,0,0.043,0.877,59.23643,59.83233
Jefferson County School District No. R-1,Lakewood,0,0,0,591,32,18.4,0.486,0.014,0.012,0.024,0.315,0.003,0.029,0.604,59.23088,57.115
Boulder Valley School District No. Re2,Broomfield,0,0,0,554,31.9,17.3,0.276,0.009,0.007,0.042,0.227,0,0.031,0.684,59.22245,58.5102
Roaring Fork School District No. Re-1,Basalt,0,0,0,482,30.5,15.7,0.425,0,0,0.012,0.537,0,0.008,0.442,59.02236,50.7333
St. Vrain Valley School District No. Re1j,Longmont,0,0,0,608,33.6,18,0.523,0.013,0.003,0.021,0.424,0.008,0.021,0.508,58.80236,55.0621
Akron School District No. R-1,Akron,1,0,0,241,20.4,11.7,0.51,0.004,0,0.017,0.178,0,0.029,0.772,58.78445,53.2869
Clear Creek School District No. Re-1,Evergreen,0,0,0,128,8.3,15.3,0.383,0,0.016,0.008,0.063,0,0.039,0.875,58.7735,80.59671
Pueblo County School District 70,Pueblo West,0,1,0,332,17.7,18.7,0.256,0.006,0.006,0.024,0.241,0,0.015,0.708,58.04864,49.6745
School District No. C-1,Elizabeth,0,0,0,529,28.8,18.3,0.229,0.006,0.004,0.002,0.098,0.002,0.017,0.871,57.93118,58.1044
